id,name,major
895a70f7-ded6-4f31-b053-de4301996ab8,Walter Stanton,b2766b13-0acf-437d-b4ae-fea6829cc661
6b4e2365-84f6-4646-934b-399a0493d6d4,Theodore Franey,c261df2f-c736-4e4c-a1f7-6891705f31c3
004ab4ad-de6f-41bc-9b66-4cc388878aa6,Estelle Cronin,d5aac0cc-fb28-4ba2-acb9-67d19bbfdeca
ea95cf32-3741-4cd9-b04c-c5ef588edd2a,Bert Feest PhD,5294d0c3-28ee-49ff-b834-68847082cf62
70759b68-db50-4935-82f5-7cb8f47d60ef,Leonard Schroeder,5294d0c3-28ee-49ff-b834-68847082cf62
c462b32a-8e25-4a16-a758-6b38f6686a26,Dr. Jimmy Wyman,2c315891-7ec3-41bc-b9d5-f682771427c3
ebc168e4-2500-4b5a-a1d4-c394826a8cb9,Trevor Metz PhD,da91a91d-742c-4c46-88ba-7ebbb9ea3021
d6c2b337-67e6-4aee-a360-ed51ceee7277,Amber Orn,da91a91d-742c-4c46-88ba-7ebbb9ea3021
9f5cd202-1da5-408f-a7b6-4c25ad171b7f,Dr. Richard Little,5294d0c3-28ee-49ff-b834-68847082cf62
2f053b8d-2c7a-4375-b6a9-96b0330b3592,Allan Fay,null
fa6f9ca3-6c64-4aef-b3db-95b6808a089f,Chester Effertz,da91a91d-742c-4c46-88ba-7ebbb9ea3021
502499a8-c0f0-4d0b-a45c-1464f59e992e,Levi Carroll,c12e50a6-8f40-4fe5-ba63-7eaab4220bdf
a402cb8f-e3d4-4ddd-8cf1-ffdcd28a2b31,Angie Klocko,2c315891-7ec3-41bc-b9d5-f682771427c3
58985b63-711c-491e-8009-76c0dbfe699d,Tommy Johns MD,b2766b13-0acf-437d-b4ae-fea6829cc661
7684b628-7eda-4cf5-8a5c-3e49dc29e982,Gilberto Schultz,null
6d8d41ed-2614-48b3-8032-77cf29f9babf,Mrs. Van Feil,d5aac0cc-fb28-4ba2-acb9-67d19bbfdeca
